InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
P55198	P05067	Biogrid	1	1	1	21832049
P55212	P05067	"intact, Biogrid, Hprd"	2	2	2	"25241761, 10438520"
P55273	P05067	Biogrid	1	1	1	21832049
P55347	P05067	Biogrid	1	1	1	21832049
P56211	P05067	Biogrid	1	1	1	21832049
P56278	P05067	Biogrid	1	1	1	21832049
P56524	P05067	Biogrid	1	1	2	"21832049, 21244100"
P56537	P05067	Biogrid	1	1	1	21832049
P56545	P05067	Biogrid	1	1	1	21832049
P56559	P05067	Biogrid	1	1	1	21832049
P56705	P05067	Biogrid	1	1	1	21832049
P56880	P05067	Biogrid	1	1	1	21832049
P57060	P05067	Biogrid	1	1	1	21832049
P57076	P05067	Biogrid	1	1	1	21832049
P57105	P05067	Biogrid	1	1	1	21832049
P57729	P05067	Biogrid	1	1	1	21832049
P58499	P05067	Biogrid	1	1	1	21832049
P58511	P05067	Biogrid	1	1	1	21832049
P60174	P05067	Biogrid	1	1	1	21832049
P60409	P05067	Biogrid	1	1	1	21832049
P60508	P05067	Biogrid	1	1	1	21832049
P60520	P05067	Biogrid	1	1	1	21832049
P60866	P05067	Biogrid	1	1	1	21832049
P60880	P05067	Biogrid	1	1	1	21832049
P61026	P05067	Biogrid	1	1	1	21832049
P61081	P05067	Biogrid	1	1	2	"18096514, 21832049"
P61106	P05067	Biogrid	1	1	1	21832049
P61218	P05067	Biogrid	1	1	1	21832049
P61224	P05067	Biogrid	1	1	1	21832049
P61236	P05067	Biogrid	1	1	1	21832049
P61328	P05067	Biogrid	1	1	2	"21832049, 21244100"
P61371	P05067	Biogrid	1	1	1	21832049
P61513	P05067	Biogrid	1	1	1	21832049
P61923	P05067	Biogrid	1	1	1	21832049
P61927	P05067	Biogrid	1	1	1	21832049
P61962	P05067	Biogrid	1	1	1	21832049
P61964	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62079	P05067	Biogrid	1	1	1	21832049
P62191	P05067	Biogrid	1	1	1	21832049
P62249	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62253	P05067	Biogrid	1	1	1	21832049
P62263	P05067	Biogrid	1	1	1	21832049
P62269	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62280	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62312	P05067	Biogrid	1	1	1	21832049
P62330	P05067	Biogrid	1	1	1	21832049
P62380	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62508	P05067	Biogrid	1	1	1	21832049
P62805	P05067	Biogrid	1	1	1	21832049
P62829	P05067	Biogrid	1	1	1	21832049
P62851	P05067	Biogrid	1	1	1	21832049
P62854	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62877	P05067	Biogrid	1	1	1	21832049
P62888	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62899	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62942	P05067	Biogrid	1	1	1	21832049
P62945	P05067	Biogrid	1	1	2	"21832049, 21244100"
P62979	P05067	Biogrid	1	1	1	21832049
P63162	P05067	Biogrid	1	1	1	21832049
P63172	P05067	Biogrid	1	1	1	21832049
P63220	P05067	Biogrid	1	1	1	21832049
P63272	P05067	Biogrid	1	1	1	21832049
P63279	P05067	Biogrid	1	1	1	15561718
P68400	P05067	Biogrid	1	1	1	21832049
P69891	P05067	Biogrid	1	1	1	21832049
P69892	P05067	Biogrid	1	1	1	21832049
P78318	P05067	Biogrid	1	1	1	21832049
P78368	P05067	Biogrid	1	1	1	21832049
P78383	P05067	Biogrid	1	1	1	21832049
P78417	P05067	Biogrid	1	1	1	21832049
P78508	P05067	Biogrid	1	1	1	21832049
P78537	P05067	Biogrid	1	1	1	21832049
P78560	P05067	Biogrid	1	1	1	21832049
P78563	P05067	Biogrid	1	1	2	"21832049, 21244100"
P82932	P05067	Biogrid	1	1	1	21832049
P82933	P05067	intact	2	2	1	31413325
P84022	P05067	Biogrid	1	1	1	21832049
P84090	P05067	Biogrid	1	1	1	21832049
P84103	P05067	Biogrid	1	1	1	21832049
P86790	P05067	Biogrid	1	1	1	21832049
P86791	P05067	Biogrid	1	1	1	21832049
P98082	P05067	Biogrid	1	1	1	11247302
P98160	P05067	Hprd	2	2	1	9136074
P98173	P05067	Biogrid	1	1	1	21832049
Q00526	P05067	Biogrid	1	1	1	21832049
Q00535	P05067	"Biogrid, Hprd"	1	1	4	"21832049, 8764598, 10936190, 15178331"
Q00536	P05067	Biogrid	1	1	1	21832049
Q00537	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q00604	P05067	Biogrid	1	1	1	21832049
Q00987	P05067	"intact, Biogrid"	1	1	1	20195357
Q01105	P05067	Biogrid	1	1	2	"16162853, 19570594"
Q01362	P05067	Biogrid	1	1	1	21832049
Q01524	P05067	Biogrid	1	1	1	21832049
Q01638	P05067	Biogrid	1	1	1	21832049
Q01955	P05067	Hprd	2	2	1	9136074
Q01973	P05067	Biogrid	1	1	1	21832049
Q02045	P05067	Biogrid	1	1	1	21832049
Q02083	P05067	Biogrid	1	1	1	21832049
Q02086	P05067	Biogrid	1	1	1	21832049
Q02153	P05067	Biogrid	1	1	1	21832049
Q02221	P05067	Biogrid	1	1	1	21832049
Q02338	P05067	Biogrid	1	1	1	21832049
Q02641	P05067	Biogrid	1	1	1	21832049
Q02763	P05067	Biogrid	1	1	1	21832049
Q03113	P05067	Biogrid	1	1	1	21832049
Q03154	P05067	Biogrid	1	1	1	21832049
Q03519	P05067	Biogrid	1	1	1	21832049
Q04726	P05067	Biogrid	1	1	1	21832049
Q05086	P05067	Biogrid	1	1	1	21832049
Q05195	P05067	Biogrid	1	1	1	21832049
Q05209	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q05397	P05067	Biogrid	1	1	1	21832049
Q05655	P05067	Biogrid	1	1	1	21832049
Q05707	P05067	Biogrid	1	1	1	21832049
Q06187	P05067	Biogrid	1	1	1	21832049
Q06323	P05067	Biogrid	1	1	1	21832049
Q06330	P05067	Biogrid	1	1	1	21832049
Q06481	P05067	intact	1	1	1	16193067
Q06546	P05067	Biogrid	1	1	1	21832049
Q06587	P05067	Biogrid	1	1	1	21832049
Q07002	P05067	Biogrid	1	1	1	21832049
Q07866	P05067	"Biogrid, Hprd"	1	1	3	"11144355, 16301330, 17332754"
Q07954	P05067	"mint, Biogrid, Hprd"	2	2	4	"21968187, 19251705, 12212791, 7543026"
Q07955	P05067	Biogrid	1	1	1	21832049
Q08116	P05067	Biogrid	1	1	1	21832049
Q08495	P05067	Biogrid	1	1	1	21832049
Q08499	P05067	Biogrid	1	1	1	21832049
Q08752	P05067	"Biogrid, Hprd"	1	1	2	"21832049, 18806802"
Q08AM6	P05067	Biogrid	1	1	1	21832049
Q0P6D6	P05067	Biogrid	1	1	1	21832049
Q0VDD7	P05067	Biogrid	1	1	1	21832049
Q0VDD8	P05067	Biogrid	1	1	1	21832049
Q0VDI3	P05067	Biogrid	1	1	1	21832049
Q0VG06	P05067	Biogrid	1	1	1	21832049
Q12774	P05067	Biogrid	1	1	1	21832049
Q12792	P05067	Biogrid	1	1	1	21832049
Q12797	P05067	Biogrid	1	1	1	21832049
Q12824	P05067	Biogrid	1	1	1	21832049
Q12829	P05067	Biogrid	1	1	1	21832049
Q12834	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q12874	P05067	Biogrid	1	1	1	21832049
Q12894	P05067	Biogrid	1	1	1	21832049
Q12904	P05067	Biogrid	1	1	1	21832049
Q12931	P05067	Biogrid	1	1	1	21832049
Q12951	P05067	Biogrid	1	1	1	21832049
Q12972	P05067	Biogrid	1	1	1	21832049
Q12979	P05067	Biogrid	1	1	1	21832049
Q12981	P05067	Biogrid	1	1	1	21832049
Q13011	P05067	Biogrid	1	1	1	21832049
Q13057	P05067	Biogrid	1	1	1	21832049
Q13065	P05067	Biogrid	1	1	1	21832049
Q13084	P05067	Biogrid	1	1	1	21832049
Q13094	P05067	Biogrid	1	1	1	21832049
Q13112	P05067	Biogrid	1	1	1	21832049
Q13115	P05067	Biogrid	1	1	1	21832049
Q13123	P05067	Biogrid	1	1	1	21832049
Q13133	P05067	Biogrid	1	1	1	21832049
Q13144	P05067	Biogrid	1	1	1	21832049
Q13148	P05067	Biogrid	1	1	1	21832049
Q13153	P05067	Biogrid	1	1	1	21832049
Q13155	P05067	Biogrid	1	1	1	21832049
Q13156	P05067	Biogrid	1	1	1	21832049
Q13164	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q13177	P05067	Biogrid	1	1	1	21832049
Q13206	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q13232	P05067	Biogrid	1	1	1	21832049
Q13242	P05067	Biogrid	1	1	1	21832049
Q13247	P05067	Biogrid	1	1	1	21832049
Q13257	P05067	Biogrid	1	1	1	21832049
Q13258	P05067	Biogrid	1	1	1	21832049
Q13283	P05067	Biogrid	1	1	1	21832049
Q13322	P05067	Biogrid	1	1	1	21832049
Q13323	P05067	Biogrid	1	1	1	21832049
Q13324	P05067	Biogrid	1	1	1	21832049
Q13326	P05067	Biogrid	1	1	1	21832049
Q13352	P05067	Biogrid	1	1	1	21832049
Q13356	P05067	Biogrid	1	1	1	21832049
Q13362	P05067	Biogrid	1	1	1	21832049
Q13368	P05067	Biogrid	1	1	1	21832049
Q13405	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q13435	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q13439	P05067	Biogrid	1	1	1	21832049
Q13442	P05067	Biogrid	1	1	1	21832049
Q13451	P05067	Biogrid	1	1	1	21832049
Q13526	P05067	"intact, Hprd"	2	2	1	16554819
Q13596	P05067	Biogrid	1	1	1	21832049
Q13610	P05067	Biogrid	1	1	1	21832049
Q13618	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q13620	P05067	Biogrid	1	1	1	21832049
Q13627	P05067	Biogrid	1	1	1	21832049
Q13642	P05067	intact	2	2	1	31413325
Q13823	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q13867	P05067	"intact, Biogrid, Hprd"	1	1	2	"11350084, 10973933"
Q13875	P05067	Biogrid	1	1	1	21832049
Q13882	P05067	Biogrid	1	1	1	21832049
Q13895	P05067	Biogrid	1	1	1	21832049
Q13901	P05067	Biogrid	1	1	1	21832049
Q13939	P05067	Biogrid	1	1	1	21832049
Q13951	P05067	intact	2	2	1	20195357
Q13956	P05067	Biogrid	1	1	1	21832049
Q14011	P05067	Biogrid	1	1	1	21832049
Q14012	P05067	Biogrid	1	1	1	21832049
Q14031	P05067	"Biogrid, Hprd"	1	1	2	"21832049, 9136074"
Q14129	P05067	Biogrid	1	1	1	21832049
Q14181	P05067	Biogrid	1	1	1	21832049
Q14192	P05067	Biogrid	1	1	1	21832049
Q14197	P05067	Biogrid	1	1	1	21832049
Q14202	P05067	Biogrid	1	1	1	21832049
Q14254	P05067	Biogrid	1	1	1	21832049
Q14320	P05067	Biogrid	1	1	1	21832049
Q14376	P05067	Biogrid	1	1	1	21832049
Q14444	P05067	Biogrid	1	1	1	21832049
Q14498	P05067	Biogrid	1	1	1	21832049
Q14511	P05067	Biogrid	1	1	1	21832049
Q14644	P05067	Biogrid	1	1	1	21832049
Q14696	P05067	Biogrid	1	1	1	21832049
Q14722	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q14790	P05067	Hprd	2	2	1	10911620
Q14814	P05067	Biogrid	1	1	1	21832049
Q14919	P05067	Biogrid	1	1	1	21832049
Q14964	P05067	Biogrid	1	1	1	21832049
Q14978	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q14CX5	P05067	Biogrid	1	1	1	21832049
Q14CX7	P05067	Biogrid	1	1	1	21832049
Q15011	P05067	Biogrid	1	1	1	21832049
Q15024	P05067	Biogrid	1	1	1	21832049
Q15036	P05067	Biogrid	1	1	1	23382219
Q15054	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q15059	P05067	Biogrid	1	1	1	21832049
Q15078	P05067	Biogrid	1	1	1	21832049
Q15109	P05067	Biogrid	1	1	1	21832049
Q15120	P05067	Biogrid	1	1	1	21832049
Q15125	P05067	Biogrid	1	1	1	21832049
Q15154	P05067	intact	2	2	1	31413325
Q15257	P05067	Biogrid	1	1	1	21832049
Q15286	P05067	Biogrid	1	1	1	21832049
Q15365	P05067	Biogrid	1	1	1	21832049
Q15386	P05067	Biogrid	1	1	1	21832049
Q15398	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q15404	P05067	Biogrid	1	1	1	21832049
Q15527	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q15544	P05067	Biogrid	1	1	1	21832049
Q15555	P05067	Biogrid	1	1	1	21832049
Q15560	P05067	Biogrid	1	1	1	21832049
Q15583	P05067	Biogrid	1	1	1	21832049
Q155Q3	P05067	Biogrid	1	1	1	21832049
Q15622	P05067	Biogrid	1	1	1	21832049
Q15629	P05067	Biogrid	1	1	1	21832049
Q15633	P05067	Biogrid	1	1	1	21832049
Q15653	P05067	Biogrid	1	1	1	21832049
Q15696	P05067	Biogrid	1	1	1	21832049
Q15723	P05067	Biogrid	1	1	1	21832049
Q15726	P05067	Biogrid	1	1	1	21832049
Q15759	P05067	Biogrid	1	1	1	21832049
Q15772	P05067	Biogrid	1	1	1	21832049
Q15797	P05067	Biogrid	1	1	1	21832049
Q15814	P05067	Biogrid	1	1	1	21832049
Q15831	P05067	Biogrid	1	1	1	21832049
Q15836	P05067	Biogrid	1	1	1	21832049
Q15907	P05067	Biogrid	1	1	1	21832049
Q16186	P05067	Biogrid	1	1	1	21832049
Q16288	P05067	Biogrid	1	1	1	21832049
Q16401	P05067	Biogrid	1	1	1	21832049
Q16517	P05067	Biogrid	1	1	1	21832049
Q16537	P05067	Biogrid	1	1	1	21832049
Q16548	P05067	Biogrid	1	1	1	21832049
Q16560	P05067	Biogrid	1	1	1	21832049
Q16619	P05067	Biogrid	1	1	1	21832049
Q16644	P05067	Biogrid	1	1	1	21832049
Q16647	P05067	Biogrid	1	1	1	21832049
Q16666	P05067	Biogrid	1	1	1	21832049
Q16698	P05067	Biogrid	1	1	1	21832049
Q16718	P05067	Biogrid	1	1	1	21832049
Q16739	P05067	Biogrid	1	1	1	21832049
Q16763	P05067	Biogrid	1	1	1	21832049
Q16772	P05067	Biogrid	1	1	1	21832049
Q16773	P05067	Biogrid	1	1	1	21832049
Q16775	P05067	Biogrid	1	1	1	21832049
Q16822	P05067	Biogrid	1	1	1	21832049
Q16827	P05067	Biogrid	1	1	1	21832049
Q16836	P05067	Biogrid	1	1	1	21832049
Q16854	P05067	Biogrid	1	1	1	21832049
Q2KHN1	P05067	Biogrid	1	1	1	21832049
Q2M1K9	P05067	intact	2	2	1	31413325
Q2M2E3	P05067	Biogrid	1	1	1	21832049
Q2M2I8	P05067	Biogrid	1	1	1	21832049
Q2M3W8	P05067	intact	2	2	1	31413325
Q2QGD7	P05067	Biogrid	1	1	1	21832049
Q2QL34	P05067	Biogrid	1	1	1	21832049
Q2TAA8	P05067	Biogrid	1	1	1	21832049
Q2TAL5	P05067	Biogrid	1	1	1	21832049
Q2TBE0	P05067	Biogrid	1	1	1	21832049
Q2VYF4	P05067	Biogrid	1	1	1	21832049
Q32NC0	P05067	Biogrid	1	1	1	21832049
Q3L8U1	P05067	intact	2	2	1	31413325
Q3MIW9	P05067	Biogrid	1	1	1	21832049
Q3T906	P05067	Biogrid	1	1	1	21832049
Q460N3	P05067	Biogrid	1	1	1	21832049
Q499Z3	P05067	Biogrid	1	1	1	21832049
Q49A88	P05067	Biogrid	1	1	1	21832049
Q4AE62	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q4G0J3	P05067	Biogrid	1	1	1	21832049
Q4G0X9	P05067	Biogrid	1	1	1	21832049
Q4U2R8	P05067	Biogrid	1	1	1	21832049
Q4VCS5	P05067	Biogrid	1	1	1	21832049
Q504U0	P05067	Biogrid	1	1	1	21832049
Q53F19	P05067	Biogrid	1	1	1	21832049
Q53FP2	P05067	Biogrid	1	1	1	21832049
Q53FT3	P05067	Biogrid	1	1	1	21832049
Q53GS9	P05067	Biogrid	1	1	1	21832049
Q53H76	P05067	Biogrid	1	1	1	21832049
Q53QW1	P05067	Biogrid	1	1	1	21832049
Q53RE8	P05067	Biogrid	1	1	1	21832049
Q53T94	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q569H4	P05067	Biogrid	1	1	1	21832049
Q56VL3	P05067	Biogrid	1	1	1	21832049
Q58DX5	P05067	Biogrid	1	1	1	21832049
Q5BJF2	P05067	Biogrid	1	1	1	21832049
Q5BJF6	P05067	Biogrid	1	1	1	21832049
Q5BKX8	P05067	Biogrid	1	1	1	21832049
Q5BKY9	P05067	Biogrid	1	1	1	21832049
Q5EB52	P05067	Biogrid	1	1	1	21832049
Q5H8A4	P05067	Biogrid	1	1	1	21832049
Q5H9L4	P05067	Biogrid	1	1	1	21832049
Q5HYI8	P05067	Biogrid	1	1	1	21832049
Q5JRV8	P05067	Biogrid	1	1	1	21832049
Q5JS13	P05067	Biogrid	1	1	1	21832049
Q5JSZ5	P05067	Biogrid	1	1	1	21832049
Q5KU26	P05067	Biogrid	1	1	1	21832049
Q5MJ09	P05067	Biogrid	1	1	1	21832049
Q5MNZ6	P05067	Biogrid	1	1	1	21832049
Q5NDL2	P05067	Biogrid	1	1	1	21832049
Q5SQI0	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5SRE7	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5SSJ5	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5SW96	P05067	"intact, Hprd"	1	1	2	"31413325, 12805363"
Q5T0L3	P05067	Biogrid	1	1	1	21832049
Q5T1N1	P05067	Biogrid	1	1	1	21832049
Q5T2W1	P05067	Biogrid	1	1	1	21832049
Q5T4F4	P05067	Biogrid	1	1	1	21832049
Q5T4T6	P05067	Biogrid	1	1	1	21832049
Q5T5D7	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5T5N4	P05067	Biogrid	1	1	1	21832049
Q5T655	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5T686	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5T7P8	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q5T7V8	P05067	Biogrid	1	1	1	21832049
Q5TGY3	P05067	Biogrid	1	1	1	21832049
Q5TZF3	P05067	Biogrid	1	1	1	21832049
Q5U5X0	P05067	Biogrid	1	1	1	21832049
Q5VT06	P05067	intact	2	2	1	31413325
Q5VYS8	P05067	Biogrid	1	1	1	21832049
Q5VZM2	P05067	Biogrid	1	1	1	21832049
Q5W5X9	P05067	Biogrid	1	1	1	21832049
Q5XPI4	P05067	intact	2	2	1	31413325
Q5XUX1	P05067	Biogrid	1	1	1	21832049
Q659C4	P05067	Biogrid	1	1	1	21832049
Q66K14	P05067	Biogrid	1	1	1	21832049
Q676U5	P05067	Biogrid	1	1	1	21832049
Q68BL7	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q68CQ4	P05067	Biogrid	1	1	1	21832049
Q68DC2	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q68E01	P05067	Biogrid	1	1	1	21832049
Q68EM7	P05067	Biogrid	1	1	1	21832049
Q6AZW8	P05067	intact	2	2	1	31413325
Q6DD88	P05067	Biogrid	1	1	1	21832049
Q6DN12	P05067	Biogrid	1	1	1	21832049
Q6E0U4	P05067	Biogrid	1	1	1	21832049
Q6FI13	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q6GMR7	P05067	Biogrid	1	1	1	21832049
Q6GPH4	P05067	Biogrid	1	1	1	21832049
Q6GTX8	P05067	Biogrid	1	1	1	21832049
Q6IA17	P05067	Biogrid	1	1	1	21832049
Q6IAN0	P05067	Biogrid	1	1	1	21832049
Q6IC98	P05067	Biogrid	1	1	1	21832049
Q6ICG6	P05067	Biogrid	1	1	1	21832049
Q6IPW1	P05067	Biogrid	1	1	1	21832049
Q6ISB3	P05067	Biogrid	1	1	1	21832049
Q6JQN1	P05067	Biogrid	1	1	1	21832049
Q6NSI3	P05067	Biogrid	1	1	1	21832049
Q6NSI8	P05067	Biogrid	1	1	1	21832049
Q6NT76	P05067	Biogrid	1	1	1	21832049
Q6NUI1	P05067	Biogrid	1	1	1	21832049
Q6NUM9	P05067	Biogrid	1	1	1	21832049
Q6NUN7	P05067	Biogrid	1	1	1	21832049
Q6NVV7	P05067	Biogrid	1	1	1	21832049
Q6NXR0	P05067	Biogrid	1	1	1	21832049
Q6NZY4	P05067	Biogrid	1	1	1	21832049
Q6P0Q8	P05067	Biogrid	1	1	1	21832049
Q6P1K1	P05067	Biogrid	1	1	1	21832049
Q6P1L6	P05067	Biogrid	1	1	1	21832049
Q6P1Q0	P05067	Biogrid	1	1	1	21832049
Q6P1Q9	P05067	Biogrid	1	1	1	21832049
Q6P1S2	P05067	Biogrid	1	1	1	21832049
Q6P2H8	P05067	Biogrid	1	1	1	21832049
Q6P4A8	P05067	Biogrid	1	1	1	21832049
Q6P4E1	P05067	Biogrid	1	1	1	21832049
Q6P4F2	P05067	Biogrid	1	1	1	21832049
Q6P582	P05067	Biogrid	1	1	1	21832049
Q6P9F5	P05067	Biogrid	1	1	1	21832049
Q6P9H5	P05067	Biogrid	1	1	1	21832049
Q6PB30	P05067	Biogrid	1	1	1	21832049
Q6PCD5	P05067	Biogrid	1	1	1	21832049
Q6PEW1	P05067	Biogrid	1	1	1	21832049
Q6PGN9	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q6PH85	P05067	Biogrid	1	1	1	21832049
Q6PI47	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q6PI77	P05067	Biogrid	1	1	1	21832049
Q6PIJ6	P05067	Biogrid	1	1	1	21832049
Q6PIL6	P05067	Biogrid	1	1	1	21832049
Q6PJE2	P05067	Biogrid	1	1	1	21832049
Q6PUV4	P05067	Biogrid	1	1	1	21832049
Q6QNY1	P05067	Biogrid	1	1	1	21832049
Q6U7Q0	P05067	Biogrid	1	1	1	21832049
Q6UN15	P05067	Biogrid	1	1	1	21832049
Q6UW02	P05067	Biogrid	1	1	1	21832049
Q6UW56	P05067	Biogrid	1	1	1	21832049
Q6UWN8	P05067	Biogrid	1	1	1	21832049
Q6UWU2	P05067	Biogrid	1	1	1	21832049
Q6UX06	P05067	Biogrid	1	1	1	21832049
Q6UY11	P05067	Biogrid	1	1	1	21832049
Q6V702	P05067	Biogrid	1	1	1	21832049
Q6WRI0	P05067	Biogrid	1	1	1	21832049
Q6ZMY6	P05067	Biogrid	1	1	1	21832049
Q6ZN18	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q6ZN55	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q6ZNA1	P05067	intact	2	2	1	31413325
Q6ZRI6	P05067	Biogrid	1	1	1	21832049
Q6ZT98	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q6ZTN6	P05067	Biogrid	1	1	1	21832049
Q6ZUJ4	P05067	Biogrid	1	1	1	21832049
Q6ZUS6	P05067	Biogrid	1	1	1	21832049
Q6ZVM7	P05067	Biogrid	1	1	1	21832049
Q709F0	P05067	Biogrid	1	1	1	21832049
Q70IA8	P05067	Biogrid	1	1	1	21832049
Q70UQ0	P05067	Biogrid	1	1	1	21832049
Q70YC4	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q70YC5	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q71RC2	P05067	Biogrid	1	1	1	21832049
Q71UI9	P05067	Biogrid	1	1	1	21832049
Q76G19	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q76L83	P05067	Biogrid	1	1	1	21832049
Q7KZF4	P05067	Biogrid	1	1	1	21832049
Q7L099	P05067	Biogrid	1	1	1	21832049
Q7L1W4	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q7L2H7	P05067	Biogrid	1	1	1	21832049
Q7L2Z9	P05067	Biogrid	1	1	1	21832049
Q7L4I2	P05067	Biogrid	1	1	1	21832049
Q7L4P6	P05067	Biogrid	1	1	1	21832049
Q7L592	P05067	Biogrid	1	1	1	21832049
Q7L5A3	P05067	Biogrid	1	1	1	21832049
Q7L985	P05067	Biogrid	1	1	1	21832049
Q7L9B9	P05067	Biogrid	1	1	1	21832049
Q7L9L4	P05067	Biogrid	1	1	1	21832049
Q7LDG7	P05067	Biogrid	1	1	1	21832049
Q7Z2F6	P05067	Biogrid	1	1	1	21832049
Q7Z2T5	P05067	Biogrid	1	1	1	21832049
Q7Z2W4	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q7Z2Z1	P05067	Biogrid	1	1	1	21832049
Q7Z3D6	P05067	Biogrid	1	1	1	21832049
Q7Z3E5	P05067	Biogrid	1	1	1	21832049
Q7Z3G6	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q7Z3K3	P05067	Biogrid	1	1	1	21832049
Q7Z3T8	P05067	Biogrid	1	1	1	21832049
Q7Z3Z2	P05067	Biogrid	1	1	1	21832049
Q7Z4H7	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q7Z4I7	P05067	Biogrid	1	1	1	21832049
Q7Z4U5	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q7Z4W1	P05067	Biogrid	1	1	1	21832049
Q7Z5V6	P05067	Biogrid	1	1	1	21832049
Q7Z624	P05067	Biogrid	1	1	1	21832049
Q7Z6G8	P05067	"intact, Biogrid"	1	1	2	"31413325, 21832049"
Q7Z6M4	P05067	Biogrid	1	1	1	21832049
Q7Z6V5	P05067	Biogrid	1	1	1	21832049
Q7Z7B0	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q7Z7H3	P05067	Biogrid	1	1	1	21832049
Q7Z7H8	P05067	Biogrid	1	1	1	21832049
Q86SX6	P05067	Biogrid	1	1	1	21832049
Q86T29	P05067	intact	2	2	1	31413325
Q86TB9	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q86TN4	P05067	Biogrid	1	1	1	21832049
Q86TS9	P05067	Biogrid	1	1	1	21832049
Q86TU7	P05067	Biogrid	1	1	1	21832049
Q86U86	P05067	Biogrid	1	1	1	21832049
Q86UC2	P05067	Biogrid	1	1	1	21832049
Q86UD3	P05067	Biogrid	1	1	1	21832049
Q86UF4	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q86UV5	P05067	Biogrid	1	1	1	21832049
Q86UX7	P05067	Biogrid	1	1	1	21832049
Q86V15	P05067	Biogrid	1	1	1	21832049
Q86V25	P05067	Biogrid	1	1	1	21832049
Q86V59	P05067	Biogrid	1	1	1	21832049
Q86V87	P05067	Biogrid	1	1	1	21832049
Q86VF5	P05067	Biogrid	1	1	1	21832049
Q86VK4	P05067	Biogrid	1	1	1	21832049
Q86VS3	P05067	Biogrid	1	1	2	"21832049, 21244100"
Q86W33	P05067	Biogrid	1	1	1	21832049
Q86W50	P05067	Biogrid	1	1	1	21832049
Q86WB0	P05067	Biogrid	1	1	1	21832049
Q86WG3	P05067	Biogrid	1	1	1	21832049
Q86WH2	P05067	Biogrid	1	1	1	21832049
Q86WR7	P05067	Biogrid	1	1	1	21832049
Q86WT6	P05067	Biogrid	1	1	1	21832049
Q86WV1	P05067	Biogrid	1	1	1	21832049
Q86WW8	P05067	Biogrid	1	1	1	21832049
Q86WZ6	P05067	intact	2	2	1	31413325
Q86X83	P05067	Biogrid	1	1	1	21832049
Q86XP0	P05067	Biogrid	1	1	1	21832049
Q86XP3	P05067	Biogrid	1	1	1	21832049
Q86XR8	P05067	Biogrid	1	1	1	21832049
Q86XZ4	P05067	Biogrid	1	1	1	21832049
Q86YA3	P05067	Biogrid	1	1	1	21832049
Q86YB7	P05067	Biogrid	1	1	1	21832049
Q86YD7	P05067	Biogrid	1	1	1	21832049
Q86YH6	P05067	Biogrid	1	1	1	21832049
