InteractorA,InteractorB
Q99829,O60504
Q05D32,Q8N165
Q9NQC7,O95786
Q9NQC7,Q9UBN7
Q9NQC7,Q96J02
Q9NQC7,Q96J02
Q9NQC7,Q71U36
P17302,O43889
P17302,Q02487
P17302,Q9NZG7
P17302,Q5VZY2
P17302,Q07157
P17302,Q5BJH2
P17302,Q8N661
P78310,Q86W74
P78310,Q92520
P78310,P21145
P56545,A0A0A0MR97
P56545,Q9UIF8
P56545,Q9H6U6
P56545,P20749
P56545,Q02641
P56545,Q08289
P56545,P54284
P56545,O00305
P56545,Q9Y6W3
P56545,Q8NEC5
P56545,Q96HB5
P56545,P51946
P56545,Q76N32
P56545,P33240
P56545,Q13363
P56545,Q13363
P56545,Q13363
P56545,O60941
P56545,Q9H596
P56545,Q9H6Z9
P56545,Q04637
P56545,Q9H0I2
P56545,Q13643
P56545,Q01543
P56545,O15409
P56545,O15409
P56545,Q8IVP5
P56545,Q9BZE0
P56545,Q14526
P56545,P20719
P56545,P09067
P56545,Q00444
P56545,Q13422
P56545,Q13422
P56545,Q13422
P56545,Q9UKS7
P56545,Q9UKS7
P56545,Q9UKT9
P56545,P57682
P56545,Q16719
P56545,Q96JN0
P56545,Q96JN0
P56545,Q8N3X6
P56545,P61968
P56545,Q8IXL7
P56545,Q9HC98
P56545,O94818
P56545,O94818
P56545,Q96MY1
P56545,Q96MY1
P56545,Q9NQ66
P56545,Q9NQ66
P56545,O75807
P56545,Q92786
P56545,P47897
P56545,Q9Y5P3
P56545,Q9Y5P3
P56545,Q8NC74
P56545,Q9UFD9
P56545,Q8IUD6
P56545,O00560
P56545,Q6ZSJ9
P56545,Q9UN79
P56545,Q9UN79
P56545,Q15583
P56545,Q15583
P56545,Q08117
P56545,Q8N7C3
P56545,Q63HK5
P56545,Q9H8Y1
P56545,Q99592
P56545,B2RXF5
P56545,Q32MQ0
P56545,Q8NAM6
Q9Y4B6,Q16531
Q9Y4B6,Q16531
Q9Y4B6,O95835
Q9Y4B6,Q9NRM7
Q14185,O15084
Q14185,P46108
Q14185,Q9H7D0
Q14185,Q92556
Q14185,P62993
Q14185,P63000
O60231,Q92620
O60231,Q92917
O60231,Q13435
O60231,Q9HCS7
O76075,O00273
Q14565,P51587
Q14565,Q9H8Y8
Q14565,Q8N5Z5
Q14565,Q8TBB1
Q14565,Q9GZT8
Q14565,O75928
Q14565,Q9NRD5
Q14565,P25788
Q14565,Q96B01
Q14565,O00560
Q14565,Q9H190
Q14565,P36406
Q9BQC3,O95363
Q9BQC3,Q16552
Q9BQC3,P61326
Q9BQC3,Q8IVT2
Q9BQC3,Q9HC98
Q9BQC3,Q07912
Q92630,Q9NR20
Q92630,Q13422
Q92630,Q9BQD3
Q92630,Q9BRK4
Q92630,P23497
Q92630,O43379
Q92630,Q96C00
Q16643,Q16643
Q16643,P55196
Q16643,P61073
Q16643,P62993
Q16643,P28799
Q16643,P60484
Q16643,Q9BSI4
Q16643,Q9ULU4
O00716,Q9NRZ9
O00716,Q96JM7
O00716,P43246
O00716,P06400
Q96T75,Q6UY14
O75521,Q13011
O75521,Q9Y5L0
Q9NR33,P25208
Q9NR33,Q9NRF9
Q9NR33,P31321
Q9HCU8,P12004
Q9HCU8,P28340
Q9HCU8,P49005
Q9HCU8,Q96S55
Q15582,Q8IZU0
Q15582,P25815
Q86VB7,P12314
P61769,P06126
P61769,P29016
P61769,Q9BZW8
P61769,Q30201
P61769,Q95460
P61769,P12004
Q96HJ3,Q8NI60
Q96HJ3,Q8N661
Q8TC20,Q13515
Q8TC20,Q96RD9
